Acknowledge,cong nhan
Acquire,dat duoc
Adapt,thich nghi
Adjust,dieu chinh
Challenge,thach thuc
Allocate,phan bo
Alter,thay doi
Amend,sua doi
Appreciate,danh gia cao
Assume,gia dinh
Assure,dam bao
Attain,dat duoc
Crucial,adjective,quan trong
Bear,mang
Analyze,phan tich
Develop,phat trien
Cite,trich dan
Coincide,trung khop
Commence,bat dau
Compile,bien soan
Contribute,dong gop
Constitute,cau thanh
Benefit,loi ich
Convey,truyen dat
Dedicate,cong hien
Define,dinh nghia
Demonstrate,chung minh
Denote,chi dan
Derive,bat nguon
Determine,xac dinh
Devote,cong hien
Diminish,lam giam bot
Disclose,tiet lo
Discover,kham pha
Describe,mo ta
Distinct,adjective,rieng biet
Distinguish,phan biet
Distribute,phan phat
Dominate,thong tri
Embrace,om
Employ,su dung
Engage,tham gia
Enhance,nang cao
Enrich,lam giau
Ensure,dam bao
Establish,thiet lap
Evaluate,danh gia
Evolve,tien hoa
Exceed,vuot qua
Expand,mo rong
Fluctuate,bien doi
Galvanize,kich thich
Haphazard,adjective,bua bai
Illuminate,chieu sang
Juxtapose,dat canh nhau
Keen,adjective,sac sao
Lament,than tho
Mitigate,lam diu bot
Nourish,nuoi duong
Observe,quan sat
Plunge,lao xuong
Quench,dap tat
Rejuvenate,lam tre lai
Stagnate,dinh tre
Thrive,phat trien manh
Unveil,tiet lo
Validate,xac nhan
Waver,lung lay
Xenophobic,adjective,ki thi nguoi nuoc ngoai
Yearn,khao khat
Zeal,long nhiet huyet
Encompass,bao gom
Jeopardize,gay nguy hiem
Illuminate,chieu sang
Innovate,doi moi
Investigate,dieu tra
Issue,van de
Justify,bao chua
Maintain,duy tri
Measurement,su do luong
Modify,sua doi
Obtain,dat duoc
Perceive,nhan thuc
Predict,du doan
Processor,bo xu ly
Propose,de xuat
Provide,cung cap
Ranger,kiem lam
Reflect,phan anh
Relate,lien quan
Represent,dai dien
Respond,phan hoi
Reveal,tiet lo
Signify,bieu thi
Simulate,mo phong
Specify,xac dinh
Strategy,chien luoc
Student,hoc sinh/sinh vien
Utilize,su dung
